,지역,망,측정소코드,측정소명,측정일시,SO2,CO,O3,NO2,PM10,PM25,주소
48,서울 종로구,도시대기,111123,종로구,2021100301,0.003,0.7,0.007,0.038,38.0,24.0,서울 종로구 종로35가길 19
49,서울 종로구,도시대기,111123,종로구,2021100302,0.004,0.7,0.006,0.038,37.0,26.0,서울 종로구 종로35가길 19
50,서울 종로구,도시대기,111123,종로구,2021100303,0.003,0.7,0.004,0.041,42.0,28.0,서울 종로구 종로35가길 19
51,서울 종로구,도시대기,111123,종로구,2021100304,0.003,0.6,0.007,0.032,41.0,28.0,서울 종로구 종로35가길 19
52,서울 종로구,도시대기,111123,종로구,2021100305,0.003,0.6,0.009,0.023,40.0,28.0,서울 종로구 종로35가길 19
53,서울 종로구,도시대기,111123,종로구,2021100306,0.003,0.5,0.016,0.017,37.0,25.0,서울 종로구 종로35가길 19
54,서울 종로구,도시대기,111123,종로구,2021100307,0.003,0.5,0.02,0.015,35.0,25.0,서울 종로구 종로35가길 19
55,서울 종로구,도시대기,111123,종로구,2021100308,0.003,0.5,0.022,0.015,31.0,22.0,서울 종로구 종로35가길 19
56,서울 종로구,도시대기,111123,종로구,2021100309,0.003,0.5,0.026,0.014,30.0,20.0,서울 종로구 종로35가길 19
57,서울 종로구,도시대기,111123,종로구,2021100310,0.003,0.5,0.033,0.015,31.0,23.0,서울 종로구 종로35가길 19
58,서울 종로구,도시대기,111123,종로구,2021100311,0.003,0.5,0.047,0.014,34.0,25.0,서울 종로구 종로35가길 19
59,서울 종로구,도시대기,111123,종로구,2021100312,0.003,0.5,0.055,0.013,35.0,24.0,서울 종로구 종로35가길 19
60,서울 종로구,도시대기,111123,종로구,2021100313,0.003,0.4,0.068,0.009,36.0,24.0,서울 종로구 종로35가길 19
61,서울 종로구,도시대기,111123,종로구,2021100314,0.003,0.4,0.072,0.008,35.0,22.0,서울 종로구 종로35가길 19
62,서울 종로구,도시대기,111123,종로구,2021100315,0.004,0.4,0.069,0.009,34.0,17.0,서울 종로구 종로35가길 19
63,서울 종로구,도시대기,111123,종로구,2021100316,0.003,0.4,0.066,0.009,39.0,20.0,서울 종로구 종로35가길 19
64,서울 종로구,도시대기,111123,종로구,2021100317,0.004,0.4,0.062,0.01,35.0,22.0,서울 종로구 종로35가길 19
65,서울 종로구,도시대기,111123,종로구,2021100318,0.003,0.4,0.057,0.014,35.0,18.0,서울 종로구 종로35가길 19
66,서울 종로구,도시대기,111123,종로구,2021100319,0.003,0.4,0.053,0.017,39.0,22.0,서울 종로구 종로35가길 19
67,서울 종로구,도시대기,111123,종로구,2021100320,0.003,0.5,0.042,0.024,37.0,23.0,서울 종로구 종로35가길 19
68,서울 종로구,도시대기,111123,종로구,2021100321,0.003,0.6,0.021,0.041,40.0,28.0,서울 종로구 종로35가길 19
69,서울 종로구,도시대기,111123,종로구,2021100322,0.003,0.6,0.015,0.041,41.0,26.0,서울 종로구 종로35가길 19
70,서울 종로구,도시대기,111123,종로구,2021100323,0.004,0.8,0.004,0.052,39.0,29.0,서울 종로구 종로35가길 19
71,서울 종로구,도시대기,111123,종로구,2021100324,0.003,0.8,0.003,0.049,41.0,28.0,서울 종로구 종로35가길 19
72,서울 종로구,도시대기,111123,종로구,2021100401,0.003,0.8,0.003,0.048,41.0,26.0,서울 종로구 종로35가길 19
73,서울 종로구,도시대기,111123,종로구,2021100402,0.003,0.7,0.005,0.04,38.0,25.0,서울 종로구 종로35가길 19
74,서울 종로구,도시대기,111123,종로구,2021100403,0.003,0.7,0.006,0.036,37.0,25.0,서울 종로구 종로35가길 19
75,서울 종로구,도시대기,111123,종로구,2021100404,0.003,0.6,0.009,0.031,35.0,23.0,서울 종로구 종로35가길 19
76,서울 종로구,도시대기,111123,종로구,2021100405,0.004,0.6,0.008,0.031,33.0,24.0,서울 종로구 종로35가길 19
77,서울 종로구,도시대기,111123,종로구,2021100406,0.003,0.6,0.009,0.029,34.0,23.0,서울 종로구 종로35가길 19
78,서울 종로구,도시대기,111123,종로구,2021100407,0.003,0.6,0.005,0.034,35.0,24.0,서울 종로구 종로35가길 19
79,서울 종로구,도시대기,111123,종로구,2021100408,0.003,0.6,0.005,0.035,36.0,24.0,서울 종로구 종로35가길 19
80,서울 종로구,도시대기,111123,종로구,2021100409,0.004,0.5,0.015,0.033,41.0,27.0,서울 종로구 종로35가길 19
81,서울 종로구,도시대기,111123,종로구,2021100410,0.004,0.5,0.02,0.029,42.0,26.0,서울 종로구 종로35가길 19
82,서울 종로구,도시대기,111123,종로구,2021100411,0.003,0.5,0.019,0.03,43.0,28.0,서울 종로구 종로35가길 19
83,서울 종로구,도시대기,111123,종로구,2021100412,0.004,0.4,0.029,0.02,45.0,25.0,서울 종로구 종로35가길 19
84,서울 종로구,도시대기,111123,종로구,2021100413,0.004,0.4,0.03,0.019,43.0,21.0,서울 종로구 종로35가길 19
85,서울 종로구,도시대기,111123,종로구,2021100414,0.004,0.3,0.035,0.013,41.0,18.0,서울 종로구 종로35가길 19
86,서울 종로구,도시대기,111123,종로구,2021100415,0.003,0.3,0.037,0.01,45.0,16.0,서울 종로구 종로35가길 19
87,서울 종로구,도시대기,111123,종로구,2021100416,0.003,0.3,0.035,0.011,40.0,14.0,서울 종로구 종로35가길 19
88,서울 종로구,도시대기,111123,종로구,2021100417,0.003,0.3,0.031,0.013,40.0,17.0,서울 종로구 종로35가길 19
89,서울 종로구,도시대기,111123,종로구,2021100418,0.003,0.3,0.03,0.012,38.0,14.0,서울 종로구 종로35가길 19
90,서울 종로구,도시대기,111123,종로구,2021100419,0.003,0.3,0.03,0.011,37.0,14.0,서울 종로구 종로35가길 19
91,서울 종로구,도시대기,111123,종로구,2021100420,0.003,0.3,0.033,0.008,37.0,13.0,서울 종로구 종로35가길 19
92,서울 종로구,도시대기,111123,종로구,2021100421,0.003,0.3,0.033,0.009,35.0,11.0,서울 종로구 종로35가길 19
93,서울 종로구,도시대기,111123,종로구,2021100422,0.002,0.3,0.036,0.007,33.0,10.0,서울 종로구 종로35가길 19
94,서울 종로구,도시대기,111123,종로구,2021100423,0.003,0.3,0.037,0.007,38.0,14.0,서울 종로구 종로35가길 19
95,서울 종로구,도시대기,111123,종로구,2021100424,0.003,0.3,0.037,0.008,39.0,15.0,서울 종로구 종로35가길 19
96,서울 종로구,도시대기,111123,종로구,2021100501,0.003,0.3,0.04,0.006,40.0,14.0,서울 종로구 종로35가길 19
97,서울 종로구,도시대기,111123,종로구,2021100502,0.003,0.3,0.041,0.005,38.0,13.0,서울 종로구 종로35가길 19
98,서울 종로구,도시대기,111123,종로구,2021100503,0.002,0.3,0.042,0.005,41.0,13.0,서울 종로구 종로35가길 19
99,서울 종로구,도시대기,111123,종로구,2021100504,0.003,0.3,0.043,0.005,40.0,13.0,서울 종로구 종로35가길 19
100,서울 종로구,도시대기,111123,종로구,2021100505,0.003,0.3,0.042,0.005,41.0,13.0,서울 종로구 종로35가길 19
101,서울 종로구,도시대기,111123,종로구,2021100506,0.003,0.3,0.041,0.006,40.0,13.0,서울 종로구 종로35가길 19
102,서울 종로구,도시대기,111123,종로구,2021100507,0.004,0.3,0.036,0.011,42.0,16.0,서울 종로구 종로35가길 19
103,서울 종로구,도시대기,111123,종로구,2021100508,0.003,0.3,0.032,0.014,40.0,13.0,서울 종로구 종로35가길 19
104,서울 종로구,도시대기,111123,종로구,2021100509,0.003,0.3,0.033,0.014,38.0,14.0,서울 종로구 종로35가길 19
105,서울 종로구,도시대기,111123,종로구,2021100510,0.004,0.3,0.032,0.015,39.0,15.0,서울 종로구 종로35가길 19
106,서울 종로구,도시대기,111123,종로구,2021100511,0.004,0.3,0.034,0.016,41.0,20.0,서울 종로구 종로35가길 19
107,서울 종로구,도시대기,111123,종로구,2021100512,0.004,0.4,0.039,0.015,44.0,18.0,서울 종로구 종로35가길 19
108,서울 종로구,도시대기,111123,종로구,2021100513,0.004,0.3,0.046,0.012,39.0,15.0,서울 종로구 종로35가길 19
109,서울 종로구,도시대기,111123,종로구,2021100514,0.003,0.3,0.043,0.01,37.0,15.0,서울 종로구 종로35가길 19
110,서울 종로구,도시대기,111123,종로구,2021100515,0.003,0.3,0.039,0.013,42.0,15.0,서울 종로구 종로35가길 19
111,서울 종로구,도시대기,111123,종로구,2021100516,0.003,0.3,0.037,0.015,43.0,18.0,서울 종로구 종로35가길 19
112,서울 종로구,도시대기,111123,종로구,2021100517,0.003,0.4,0.033,0.017,42.0,17.0,서울 종로구 종로35가길 19
113,서울 종로구,도시대기,111123,종로구,2021100518,0.003,0.4,0.033,0.015,43.0,17.0,서울 종로구 종로35가길 19
114,서울 종로구,도시대기,111123,종로구,2021100519,0.003,0.4,0.024,0.022,44.0,17.0,서울 종로구 종로35가길 19
115,서울 종로구,도시대기,111123,종로구,2021100520,0.003,0.4,0.024,0.018,42.0,16.0,서울 종로구 종로35가길 19
116,서울 종로구,도시대기,111123,종로구,2021100521,0.003,0.4,0.029,0.013,43.0,15.0,서울 종로구 종로35가길 19
117,서울 종로구,도시대기,111123,종로구,2021100522,0.002,0.4,0.024,0.014,35.0,13.0,서울 종로구 종로35가길 19
118,서울 종로구,도시대기,111123,종로구,2021100523,0.003,0.4,0.015,0.018,30.0,12.0,서울 종로구 종로35가길 19
119,서울 종로구,도시대기,111123,종로구,2021100524,0.003,0.4,0.013,0.018,10.0,5.0,서울 종로구 종로35가길 19
120,서울 종로구,도시대기,111123,종로구,2021100601,0.003,0.4,0.014,0.016,8.0,6.0,서울 종로구 종로35가길 19
121,서울 종로구,도시대기,111123,종로구,2021100602,0.003,0.4,0.013,0.014,6.0,2.0,서울 종로구 종로35가길 19
122,서울 종로구,도시대기,111123,종로구,2021100603,0.003,0.3,0.016,0.01,10.0,4.0,서울 종로구 종로35가길 19
123,서울 종로구,도시대기,111123,종로구,2021100604,0.002,0.3,0.015,0.009,16.0,4.0,서울 종로구 종로35가길 19
124,서울 종로구,도시대기,111123,종로구,2021100605,0.003,0.3,0.017,0.008,7.0,4.0,서울 종로구 종로35가길 19
125,서울 종로구,도시대기,111123,종로구,2021100606,0.003,0.3,0.019,0.008,3.0,1.0,서울 종로구 종로35가길 19
126,서울 종로구,도시대기,111123,종로구,2021100607,0.003,0.3,0.018,0.011,3.0,1.0,서울 종로구 종로35가길 19
127,서울 종로구,도시대기,111123,종로구,2021100608,0.002,0.3,0.017,0.015,3.0,1.0,서울 종로구 종로35가길 19
128,서울 종로구,도시대기,111123,종로구,2021100609,0.002,0.3,0.017,0.016,3.0,1.0,서울 종로구 종로35가길 19
129,서울 종로구,도시대기,111123,종로구,2021100610,0.003,0.3,0.016,0.018,3.0,1.0,서울 종로구 종로35가길 19
130,서울 종로구,도시대기,111123,종로구,2021100611,0.003,0.3,0.016,0.016,3.0,3.0,서울 종로구 종로35가길 19
131,서울 종로구,도시대기,111123,종로구,2021100612,0.003,0.3,0.017,0.016,3.0,1.0,서울 종로구 종로35가길 19
132,서울 종로구,도시대기,111123,종로구,2021100613,0.002,0.3,0.018,0.015,3.0,2.0,서울 종로구 종로35가길 19
133,서울 종로구,도시대기,111123,종로구,2021100614,0.002,0.4,0.018,0.015,3.0,1.0,서울 종로구 종로35가길 19
134,서울 종로구,도시대기,111123,종로구,2021100615,0.003,0.4,0.015,0.018,4.0,2.0,서울 종로구 종로35가길 19
135,서울 종로구,도시대기,111123,종로구,2021100616,0.003,0.4,0.015,0.019,4.0,1.0,서울 종로구 종로35가길 19
136,서울 종로구,도시대기,111123,종로구,2021100617,0.003,0.3,0.017,0.017,4.0,1.0,서울 종로구 종로35가길 19
137,서울 종로구,도시대기,111123,종로구,2021100618,0.003,0.4,0.017,0.016,4.0,1.0,서울 종로구 종로35가길 19
138,서울 종로구,도시대기,111123,종로구,2021100619,0.003,0.4,0.017,0.016,8.0,4.0,서울 종로구 종로35가길 19
139,서울 종로구,도시대기,111123,종로구,2021100620,0.003,0.4,0.015,0.017,5.0,2.0,서울 종로구 종로35가길 19
140,서울 종로구,도시대기,111123,종로구,2021100621,0.003,0.4,0.015,0.018,5.0,3.0,서울 종로구 종로35가길 19
141,서울 종로구,도시대기,111123,종로구,2021100622,0.003,0.3,0.015,0.016,5.0,2.0,서울 종로구 종로35가길 19
142,서울 종로구,도시대기,111123,종로구,2021100623,0.003,0.3,0.016,0.015,5.0,2.0,서울 종로구 종로35가길 19
143,서울 종로구,도시대기,111123,종로구,2021100624,0.002,0.3,0.016,0.014,4.0,1.0,서울 종로구 종로35가길 19
144,서울 종로구,도시대기,111123,종로구,2021100701,0.002,0.3,0.017,0.014,5.0,2.0,서울 종로구 종로35가길 19
145,서울 종로구,도시대기,111123,종로구,2021100702,0.003,0.3,0.017,0.013,4.0,1.0,서울 종로구 종로35가길 19
146,서울 종로구,도시대기,111123,종로구,2021100703,0.003,0.3,0.016,0.012,5.0,1.0,서울 종로구 종로35가길 19
147,서울 종로구,도시대기,111123,종로구,2021100704,0.003,0.3,0.014,0.014,5.0,1.0,서울 종로구 종로35가길 19
148,서울 종로구,도시대기,111123,종로구,2021100705,0.002,0.3,0.014,0.013,5.0,1.0,서울 종로구 종로35가길 19
149,서울 종로구,도시대기,111123,종로구,2021100706,0.002,0.3,0.012,0.015,5.0,3.0,서울 종로구 종로35가길 19
150,서울 종로구,도시대기,111123,종로구,2021100707,0.003,0.3,0.007,0.02,8.0,3.0,서울 종로구 종로35가길 19
151,서울 종로구,도시대기,111123,종로구,2021100708,0.002,0.4,0.005,0.023,4.0,2.0,서울 종로구 종로35가길 19
152,서울 종로구,도시대기,111123,종로구,2021100709,0.003,0.4,0.005,0.024,9.0,4.0,서울 종로구 종로35가길 19
153,서울 종로구,도시대기,111123,종로구,2021100710,0.003,0.6,0.005,0.026,8.0,5.0,서울 종로구 종로35가길 19
154,서울 종로구,도시대기,111123,종로구,2021100711,0.003,0.5,0.013,0.026,13.0,6.0,서울 종로구 종로35가길 19
155,서울 종로구,도시대기,111123,종로구,2021100712,0.003,0.4,0.016,0.021,18.0,14.0,서울 종로구 종로35가길 19
156,서울 종로구,도시대기,111123,종로구,2021100713,0.003,0.4,0.023,0.019,17.0,11.0,서울 종로구 종로35가길 19
157,서울 종로구,도시대기,111123,종로구,2021100714,0.003,0.4,0.025,0.02,14.0,9.0,서울 종로구 종로35가길 19
158,서울 종로구,도시대기,111123,종로구,2021100715,0.003,0.4,0.024,0.022,19.0,12.0,서울 종로구 종로35가길 19
159,서울 종로구,도시대기,111123,종로구,2021100716,0.003,0.4,0.033,0.014,19.0,11.0,서울 종로구 종로35가길 19
160,서울 종로구,도시대기,111123,종로구,2021100717,0.003,0.4,0.028,0.018,19.0,13.0,서울 종로구 종로35가길 19
161,서울 종로구,도시대기,111123,종로구,2021100718,0.003,0.5,0.025,0.023,20.0,11.0,서울 종로구 종로35가길 19
162,서울 종로구,도시대기,111123,종로구,2021100719,0.003,0.5,0.024,0.023,23.0,13.0,서울 종로구 종로35가길 19
163,서울 종로구,도시대기,111123,종로구,2021100720,0.003,0.5,0.024,0.023,21.0,10.0,서울 종로구 종로35가길 19
164,서울 종로구,도시대기,111123,종로구,2021100721,0.003,0.5,0.02,0.023,19.0,11.0,서울 종로구 종로35가길 19
165,서울 종로구,도시대기,111123,종로구,2021100722,0.003,0.5,0.023,0.02,17.0,9.0,서울 종로구 종로35가길 19
166,서울 종로구,도시대기,111123,종로구,2021100723,0.003,0.5,0.024,0.019,17.0,9.0,서울 종로구 종로35가길 19
167,서울 종로구,도시대기,111123,종로구,2021100724,0.003,0.5,0.025,0.02,12.0,7.0,서울 종로구 종로35가길 19
168,서울 종로구,도시대기,111123,종로구,2021100801,0.002,0.5,0.022,0.019,15.0,10.0,서울 종로구 종로35가길 19
169,서울 종로구,도시대기,111123,종로구,2021100802,0.002,0.5,0.014,0.023,13.0,8.0,서울 종로구 종로35가길 19
170,서울 종로구,도시대기,111123,종로구,2021100803,0.003,0.5,0.011,0.022,21.0,13.0,서울 종로구 종로35가길 19
171,서울 종로구,도시대기,111123,종로구,2021100804,0.003,0.5,0.008,0.022,19.0,11.0,서울 종로구 종로35가길 19
172,서울 종로구,도시대기,111123,종로구,2021100805,0.003,0.5,0.008,0.02,20.0,10.0,서울 종로구 종로35가길 19
173,서울 종로구,도시대기,111123,종로구,2021100806,0.003,0.5,0.008,0.019,19.0,10.0,서울 종로구 종로35가길 19
174,서울 종로구,도시대기,111123,종로구,2021100807,0.003,0.5,0.006,0.023,19.0,9.0,서울 종로구 종로35가길 19
175,서울 종로구,도시대기,111123,종로구,2021100808,0.003,0.5,0.006,0.024,19.0,9.0,서울 종로구 종로35가길 19
176,서울 종로구,도시대기,111123,종로구,2021100809,0.003,0.6,0.005,0.026,23.0,13.0,서울 종로구 종로35가길 19
177,서울 종로구,도시대기,111123,종로구,2021100810,0.002,0.6,0.005,0.025,24.0,11.0,서울 종로구 종로35가길 19
178,서울 종로구,도시대기,111123,종로구,2021100811,0.003,0.6,0.004,0.027,29.0,14.0,서울 종로구 종로35가길 19
179,서울 종로구,도시대기,111123,종로구,2021100812,0.003,0.6,0.005,0.026,29.0,16.0,서울 종로구 종로35가길 19
180,서울 종로구,도시대기,111123,종로구,2021100813,0.003,0.6,0.004,0.027,31.0,16.0,서울 종로구 종로35가길 19
181,서울 종로구,도시대기,111123,종로구,2021100814,0.003,0.6,0.006,0.027,23.0,16.0,서울 종로구 종로35가길 19
182,서울 종로구,도시대기,111123,종로구,2021100815,0.003,0.5,0.008,0.025,21.0,15.0,서울 종로구 종로35가길 19
183,서울 종로구,도시대기,111123,종로구,2021100816,0.003,0.5,0.007,0.026,18.0,12.0,서울 종로구 종로35가길 19
184,서울 종로구,도시대기,111123,종로구,2021100817,0.003,0.5,0.005,0.029,19.0,13.0,서울 종로구 종로35가길 19
185,서울 종로구,도시대기,111123,종로구,2021100818,0.003,0.5,0.007,0.027,15.0,11.0,서울 종로구 종로35가길 19
186,서울 종로구,도시대기,111123,종로구,2021100819,0.003,0.5,0.006,0.028,16.0,10.0,서울 종로구 종로35가길 19
187,서울 종로구,도시대기,111123,종로구,2021100820,0.003,0.5,0.004,0.029,14.0,9.0,서울 종로구 종로35가길 19
188,서울 종로구,도시대기,111123,종로구,2021100821,0.003,0.5,0.007,0.025,14.0,11.0,서울 종로구 종로35가길 19
189,서울 종로구,도시대기,111123,종로구,2021100822,0.003,0.5,0.004,0.029,14.0,9.0,서울 종로구 종로35가길 19
190,서울 종로구,도시대기,111123,종로구,2021100823,0.003,0.4,0.008,0.023,14.0,12.0,서울 종로구 종로35가길 19
191,서울 종로구,도시대기,111123,종로구,2021100824,0.003,0.4,0.008,0.023,11.0,7.0,서울 종로구 종로35가길 19
192,서울 종로구,도시대기,111123,종로구,2021100901,0.003,0.4,0.008,0.023,14.0,10.0,서울 종로구 종로35가길 19
193,서울 종로구,도시대기,111123,종로구,2021100902,0.003,0.4,0.008,0.022,12.0,7.0,서울 종로구 종로35가길 19
194,서울 종로구,도시대기,111123,종로구,2021100903,0.003,0.3,0.015,0.014,11.0,6.0,서울 종로구 종로35가길 19
195,서울 종로구,도시대기,111123,종로구,2021100904,0.003,0.3,0.015,0.014,7.0,3.0,서울 종로구 종로35가길 19
196,서울 종로구,도시대기,111123,종로구,2021100905,0.003,0.3,0.019,0.011,7.0,3.0,서울 종로구 종로35가길 19
197,서울 종로구,도시대기,111123,종로구,2021100906,0.002,0.3,0.019,0.012,4.0,1.0,서울 종로구 종로35가길 19
198,서울 종로구,도시대기,111123,종로구,2021100907,0.002,0.4,0.011,0.019,4.0,2.0,서울 종로구 종로35가길 19
199,서울 종로구,도시대기,111123,종로구,2021100908,0.003,0.4,0.009,0.021,8.0,5.0,서울 종로구 종로35가길 19
200,서울 종로구,도시대기,111123,종로구,2021100909,0.003,0.4,0.01,0.021,10.0,3.0,서울 종로구 종로35가길 19
201,서울 종로구,도시대기,111123,종로구,2021100910,0.003,0.4,0.017,0.016,7.0,3.0,서울 종로구 종로35가길 19
202,서울 종로구,도시대기,111123,종로구,2021100911,0.003,0.4,0.018,0.016,7.0,2.0,서울 종로구 종로35가길 19
203,서울 종로구,도시대기,111123,종로구,2021100912,0.003,0.4,0.019,0.016,9.0,4.0,서울 종로구 종로35가길 19
204,서울 종로구,도시대기,111123,종로구,2021100913,0.003,0.3,0.022,0.015,11.0,4.0,서울 종로구 종로35가길 19
205,서울 종로구,도시대기,111123,종로구,2021100914,0.003,0.4,0.024,0.015,8.0,3.0,서울 종로구 종로35가길 19
206,서울 종로구,도시대기,111123,종로구,2021100915,0.003,0.3,0.026,0.013,8.0,3.0,서울 종로구 종로35가길 19
207,서울 종로구,도시대기,111123,종로구,2021100916,0.003,0.3,0.024,0.015,9.0,3.0,서울 종로구 종로35가길 19
208,서울 종로구,도시대기,111123,종로구,2021100917,0.003,0.4,0.025,0.013,8.0,1.0,서울 종로구 종로35가길 19
209,서울 종로구,도시대기,111123,종로구,2021100918,0.003,0.4,0.022,0.015,9.0,4.0,서울 종로구 종로35가길 19
210,서울 종로구,도시대기,111123,종로구,2021100919,0.003,0.4,0.017,0.017,14.0,7.0,서울 종로구 종로35가길 19
211,서울 종로구,도시대기,111123,종로구,2021100920,0.003,0.4,0.012,0.021,9.0,5.0,서울 종로구 종로35가길 19
212,서울 종로구,도시대기,111123,종로구,2021100921,0.002,0.5,0.007,0.026,14.0,9.0,서울 종로구 종로35가길 19
