지점,지점명,일시,기온(°C),기온 QC플래그,강수량(mm),강수량 QC플래그,풍속(m/s),풍속 QC플래그,풍향(16방위),풍향 QC플래그,습도(%),습도 QC플래그,증기압(hPa),이슬점온도(°C),현지기압(hPa),현지기압 QC플래그,해면기압(hPa),해면기압 QC플래그,일조(hr),일조 QC플래그,일사(MJ/m2),일사 QC플래그,적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면상태(지면상태코드),현상번호(국내식),지면온도(°C),지면온도 QC플래그,5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
108,서울,2021-01-02 13:00,-2.3,,,,2.5,,290,,31,,1.6,-17.1,1018.3,,1029.3,,1,,1.95,,,,0,0,,,2000,,,3.6,,-.4,-.9,-.1,1.2
108,서울,2021-01-02 14:00,-1.5,,,,4.4,,250,,31,,1.7,-16.4,1018.1,,1029.1,,1,,1.87,,,,0,0,,,2000,,,3.5,,-.3,-.8,-.1,1.2
108,서울,2021-01-02 15:00,-2.3,,,,5.2,,290,,33,,1.7,-16.4,1017.9,,1028.9,,1,,1.57,,,,0,0,,,2000,,,1.6,,-.2,-.7,-.1,1.2
108,서울,2021-01-02 16:00,-1.7,,,,3.4,,290,,34,,1.8,-15.5,1018.2,,1029.2,,1,,1.05,,,,0,0,,,2000,,,-.3,,-.1,-.6,-.1,1.2
108,서울,2021-01-02 17:00,-2.3,,,,4.5,,270,,35,,1.8,-15.7,1018.9,,1029.9,,1,,.41,,,,0,0,,,2000,,,-1.1,,-.1,-.6,-.1,1.2
108,서울,2021-01-02 18:00,-3.2,,,,2.7,,250,,39,,1.9,-15.2,1019.5,,1030.6,,.1,,.04,,,,0,0,,,2000,,,-2.3,,-.1,-.6,-.1,1.2
108,서울,2021-01-02 19:00,-3.8,,,,2.8,,270,,50,,2.3,-12.7,1020,,1031.1,,,9,,9,,,0,0,,,2000,,,-3,,-.2,-.6,-.1,1.1
108,서울,2021-01-02 20:00,-4.2,,,,2.9,,320,,41,,1.8,-15.5,1020.5,,1031.6,,,9,,9,,,0,0,,,2000,,,-3.8,,-.4,-.7,-.1,1.1
108,서울,2021-01-02 21:00,-5,,,,2.3,,290,,39,,1.6,-16.8,1020.4,,1031.6,,,9,,9,,,0,0,,,2000,,,-4.6,,-.5,-.8,-.1,1.1
108,서울,2021-01-02 22:00,-5.5,,,,2.8,,320,,42,,1.7,-16.4,1020.6,,1031.8,,,9,,9,,,0,0,,,2000,,,-5.4,,-.7,-.9,-.1,1.1
108,서울,2021-01-02 23:00,-6.1,,,,1.9,,270,,45,,1.7,-16.1,1020.8,,1032,,,9,,9,,,0,0,,,2000,,,-6,,-.8,-1,-.1,1.1
108,서울,2021-01-03 00:00,-6.6,,,,3.8,,290,,45,,1.7,-16.5,1021.5,,1032.7,,,9,,9,,,0,0,,,2000,,,-6.4,,-.9,-1,-.1,1.1
108,서울,2021-01-03 01:00,-7.3,,,,2.4,,270,,48,,1.7,-16.4,1022,,1033.3,,,9,,9,,,0,0,,,2000,,,-6.9,,-1.1,-1.1,-.1,1.1
108,서울,2021-01-03 02:00,-7.7,,,,2,,270,,50,,1.7,-16.3,1022.6,,1033.9,,,9,,9,,,0,0,,,2000,,,-7.2,,-1.2,-1.2,-.1,1.1
108,서울,2021-01-03 03:00,-8,,,,2.2,,250,,51,,1.7,-16.3,1022.8,,1034.1,,,9,,9,,,0,0,,,2000,,,-7.4,,-1.3,-1.3,-.2,1.1
108,서울,2021-01-03 04:00,-8.3,,,,1.6,,270,,52,,1.7,-16.4,1022.9,,1034.2,,,9,,9,,,0,0,,,2000,,,-7.7,,-1.5,-1.4,-.2,1.1
108,서울,2021-01-03 05:00,-8.8,,,,1,,270,,53,,1.7,-16.6,1022.6,,1033.9,,,9,,9,,,0,0,,,2000,,,-8,,-1.6,-1.4,-.2,1.1
108,서울,2021-01-03 06:00,-9,,,,1.3,,270,,53,,1.6,-16.8,1023.4,,1034.8,,,9,,9,,,0,0,,,2000,,,-8.1,,-1.7,-1.5,-.2,1.1
108,서울,2021-01-03 07:00,-8.7,,,,1.1,,290,,54,,1.7,-16.3,1023.6,,1035,,,9,,9,,,0,0,,,2000,,,-8.3,,-1.8,-1.6,-.2,1.1
108,서울,2021-01-03 08:00,-8.7,,,,.9,,230,,58,,1.8,-15.4,1023.7,,1035.1,,0,,0,,,,0,0,,,2000,,,-8.2,,-1.9,-1.7,-.3,1.1
108,서울,2021-01-03 09:00,-7.6,,,,1.8,,250,,57,,2,-14.6,1024.1,,1035.4,,.8,,.28,,,,0,0,,,2000,,,-6.9,,-1.9,-1.7,-.3,1.1
108,서울,2021-01-03 10:00,-5.7,,,,2.6,,290,,46,,1.8,-15.5,1024,,1035.2,,1,,.86,,,,0,0,,,2000,,,-4.1,,-1.6,-1.7,-.3,1
108,서울,2021-01-03 11:00,-4.2,,,,1.9,,270,,39,,1.7,-16.1,1023.6,,1034.8,,1,,1.45,,,,0,0,,,2000,,,-.5,,-1.3,-1.5,-.3,1
108,서울,2021-01-03 12:00,-3.1,,,,2.9,,270,,33,,1.6,-17.1,1023.2,,1034.3,,1,,1.78,,,,7,7,Sc,10,2000,,,1.6,,-.9,-1.3,-.3,1
108,서울,2021-01-03 13:00,-2.4,,,,3.1,,290,,30,,1.5,-17.6,1022.9,,1034,,.9,,1.62,,,,7,7,Sc,11,2000,,,1.1,,-.6,-1.1,-.3,1
108,서울,2021-01-03 14:00,-2.3,,,,3.6,,290,,30,,1.6,-17.5,1022.7,,1033.8,,.3,,1.21,,,,8,2,ScCi,12,2000,,,1.6,,-.3,-.9,-.3,1
108,서울,2021-01-03 15:00,-2.4,,,,3.7,,290,,33,,1.7,-16.5,1022.2,,1033.3,,.2,,.76,,,,8,0,Ci,,2000,,,0,,-.2,-.8,-.3,1
108,서울,2021-01-03 16:00,-2.3,,,,2.5,,270,,35,,1.8,-15.7,1022.1,,1033.2,,0,,.48,,,,9,0,Ci,,2000,,,-.5,,-.1,-.7,-.3,1
108,서울,2021-01-03 17:00,-2.6,,,,1.9,,270,,36,,1.8,-15.6,1022.2,,1033.3,,.3,,.33,,,,6,0,Ci,,2000,,,-.8,,-.1,-.7,-.3,1
108,서울,2021-01-03 18:00,-3.6,,,,2.1,,270,,40,,1.9,-15.2,1022.2,,1033.3,,0,,.03,,,,5,0,Ci,,2000,,,-2.3,,-.1,-.7,-.3,1
108,서울,2021-01-03 19:00,-4.4,,,,1.1,,200,,41,,1.8,-15.7,1022.4,,1033.6,,,9,,9,,,0,0,,,2000,,,-3.5,,-.3,-.7,-.3,1
108,서울,2021-01-03 20:00,-4.9,,,,1.4,,290,,43,,1.8,-15.5,1023,,1034.2,,,9,,9,,,0,0,,,2000,,,-4.6,,-.5,-.8,-.3,1
108,서울,2021-01-03 21:00,-5.3,,,,.7,,270,,45,,1.9,-15.3,1023.3,,1034.5,,,9,,9,,,3,3,Sc,13,2000,,,-5.4,,-.7,-1,-.3,.9
108,서울,2021-01-03 22:00,-5.9,,,,1.1,,290,,50,,2,-14.6,1023.1,,1034.3,,,9,,9,,,0,0,,,2000,,,-6.1,,-.9,-1.1,-.3,.9
108,서울,2021-01-03 23:00,-5.3,,,,3.2,,340,,44,,1.8,-15.6,1022.8,,1034,,,9,,9,,,0,0,,,2000,,,-6.4,,-1.1,-1.2,-.3,.9
108,서울,2021-01-04 00:00,-6.2,,,,.5,,290,,48,,1.8,-15.4,1023.1,,1034.3,,,9,,9,,,0,0,,,2000,,,-7,,-1.2,-1.3,-.3,.9
108,서울,2021-01-04 01:00,-6.5,,,,1.3,,340,,49,,1.8,-15.4,1023.2,,1034.4,,,9,,9,,,0,0,,,2000,,,-7.3,,-1.4,-1.4,-.3,.9
108,서울,2021-01-04 02:00,-7,,,,.5,,250,,51,,1.8,-15.4,1023.3,,1034.6,,,9,,9,,,0,0,,,2000,,,-7.6,,-1.5,-1.5,-.4,.9
108,서울,2021-01-04 03:00,-7.1,,,,.9,,290,,54,,1.9,-14.8,1023.2,,1034.5,,,9,,9,,,0,0,,,2000,,,-7.8,,-1.7,-1.6,-.4,.9
108,서울,2021-01-04 04:00,-7.4,,,,1.3,,20,,56,,2,-14.6,1023,,1034.3,,,9,,9,,,0,0,,,2000,,,-7.9,,-1.8,-1.7,-.4,.9
108,서울,2021-01-04 05:00,-8.1,,,,1.7,,50,,52,,1.7,-16.2,1023,,1034.3,,,9,,9,,,0,0,,,2000,,,-8.1,,-1.9,-1.8,-.4,.9
108,서울,2021-01-04 06:00,-8.1,,,,2.2,,70,,47,,1.6,-17.4,1022.3,,1033.6,,,9,,9,,,0,0,,,2000,,,-8,,-2,-1.9,-.4,.9
108,서울,2021-01-04 07:00,-8.3,,,,2.4,,50,,51,,1.7,-16.6,1022.2,,1033.5,,,9,,9,,,0,0,,,2000,,,-8,,-2,-1.9,-.5,.9
108,서울,2021-01-04 08:00,-8.1,,,,2.3,,50,,48,,1.6,-17.2,1022.5,,1033.8,,0,,0,,,,0,0,,,2000,,,-7.8,,-2.1,-2,-.5,.9
108,서울,2021-01-04 09:00,-7.6,,,,2.5,,50,,48,,1.7,-16.7,1022.6,,1033.9,,.3,,.2,,,,4,4,Sc,10,2000,,,-6.1,,-2.1,-2,-.5,.8
108,서울,2021-01-04 10:00,-5.6,,,,1.3,,50,,43,,1.7,-16.2,1022.9,,1034.1,,.8,,.56,,,,0,0,,,2000,,,-3.3,,-1.8,-1.9,-.6,.8
108,서울,2021-01-04 11:00,-3,,,,2.4,,50,,40,,2,-14.7,1022.4,,1033.5,,1,,1.17,,,,2,2,Sc,16,2000,,,-.2,,-1.4,-1.7,-.6,.8
108,서울,2021-01-04 12:00,-1.5,,,,2.4,,50,,40,,2.2,-13.3,1021.2,,1032.2,,1,,1.59,,,,0,0,,,2000,,,2.1,,-1,-1.5,-.6,.8
108,서울,2021-01-04 13:00,-.6,,,,1.9,,90,,41,,2.4,-12.2,1020,,1031,,1,,1.67,,,,0,0,,,2000,,,3.5,,-.6,-1.2,-.6,.8
108,서울,2021-01-04 14:00,-.4,,,,1.6,,50,,40,,2.4,-12.3,1019.2,,1030.1,,.4,,1.05,,,,6,6,Sc,16,2000,,,2.5,,-.4,-1.1,-.5,.8
108,서울,2021-01-04 15:00,0,,,,1.6,,360,,40,,2.4,-12,1019.2,,1030.1,,0,,.58,,,,9,9,Sc,14,2000,,,1.4,,-.2,-.9,-.5,.8
108,서울,2021-01-04 16:00,.2,,,,1.3,,200,,42,,2.6,-11.2,1018.9,,1029.8,,.1,,.39,,,,9,9,Sc,14,2000,,,.5,,-.1,-.8,-.5,.7
108,서울,2021-01-04 17:00,-.3,,,,1.2,,270,,51,,3,-9.2,1018.5,,1029.4,,0,,.2,,,,8,8,Sc,13,2000,,,-.2,,0,-.7,-.5,.7
108,서울,2021-01-04 18:00,-.9,,,,1,,50,,52,,3,-9.5,1018.1,,1029.1,,0,,.03,,,,7,7,Sc,11,2000,,,-.7,,0,-.7,-.4,.7
108,서울,2021-01-04 19:00,-.9,,,,1.8,,70,,49,,2.8,-10.2,1017.8,,1028.8,,,9,,9,,,10,9,,10,2000,,,-.8,,0,-.6,-.4,.7
108,서울,2021-01-04 20:00,-.7,,,,.7,,200,,51,,3,-9.6,1017.8,,1028.7,,,9,,9,,,10,9,,9,2000,,,-.9,,0,-.6,-.4,.7
108,서울,2021-01-04 21:00,-.5,,,,2.3,,90,,57,,3.4,-7.9,1017.4,,1028.3,,,9,,9,,,9,9,Sc,9,2000,,,-.9,,0,-.6,-.4,.8
108,서울,2021-01-04 22:00,-.6,,,9,2.6,,320,,54,,3.2,-8.7,1017.8,,1028.7,,,9,,9,,,9,9,Sc,9,2000,,5,-1,,0,-.6,-.4,.8
108,서울,2021-01-04 23:00,-1.3,,,9,1,,50,,69,,3.8,-6.2,1018,,1029,,,9,,9,0,,9,9,Sc,9,1361,,5,-1.2,,0,-.6,-.4,.8
108,서울,2021-01-05 00:00,-2.1,,0,,2.4,,50,,73,,3.8,-6.2,1018.1,,1029.1,,,9,,9,0,0,9,9,,,1438,,05,-1.5,,0,-.6,-.4,.8
108,서울,2021-01-05 01:00,-2.5,,,9,.5,,110,,75,,3.8,-6.3,1018.3,,1029.3,,,9,,9,0,,9,9,Sc,9,1645,,05,-1.6,,0,-.6,-.4,.8
108,서울,2021-01-05 02:00,-2.5,,,9,1.4,,340,,77,,3.9,-5.9,1018.3,,1029.3,,,9,,9,0,,9,9,Sc,9,1759,,05,-1.7,,-.1,-.6,-.4,.8
108,서울,2021-01-05 03:00,-2.5,,0,,1,,250,,76,,3.9,-6.1,1017.9,,1028.9,,,9,,9,0,0,9,9,Sc,12,1642,,05,-2.1,,-.1,-.6,-.4,.8
108,서울,2021-01-05 04:00,-2.7,,,9,2.2,,290,,78,,3.9,-6,1018,,1029,,,9,,9,0,,9,9,Sc,12,1564,,05,-2.5,,-.1,-.6,-.4,.8
108,서울,2021-01-05 05:00,-3.9,,,9,2.7,,320,,82,,3.8,-6.5,1018.2,,1029.3,,,9,,9,0,,4,4,Sc,11,1530,,05,-3.7,,-.2,-.7,-.4,.8
108,서울,2021-01-05 06:00,-4.2,,0,,3.7,,320,,80,,3.6,-7.1,1018.6,,1029.7,,,9,,9,0,,8,8,Sc,14,1953,,05,-3.4,,-.3,-.7,-.4,.8
108,서울,2021-01-05 07:00,-4.8,,,9,2.5,,290,,77,,3.3,-8.2,1019.7,,1030.8,,,9,,9,0,,3,3,Sc,16,2000,,05,-4.3,,-.4,-.8,-.4,.8
108,서울,2021-01-05 08:00,-5.6,,,9,3.1,,270,,75,,3,-9.3,1020.8,,1032,,0,,.01,,0,,3,3,Sc,7,2000,,,-4.9,,-.5,-.9,-.4,.8
108,서울,2021-01-05 09:00,-5.8,,0,,3.3,,320,,67,,2.7,-10.9,1021.4,,1032.6,,.8,,.28,,0,,0,0,,,2000,,,-4.6,,-.7,-.9,-.4,.8
108,서울,2021-01-05 10:00,-5.2,,,9,3.9,,290,,46,,1.9,-15,1021.6,,1032.8,,1,,.82,,0,,0,0,,,2000,,,-3.2,,-.7,-1,-.4,.8
108,서울,2021-01-05 11:00,-4.6,,,9,4.4,,290,,36,,1.6,-17.4,1021.7,,1032.9,,1,,1.45,,0,,2,0,Ci,,2000,,,-.3,,-.7,-1,-.4,.8
108,서울,2021-01-05 12:00,-4.6,,,9,4.4,,290,,33,,1.4,-18.4,1020.8,,1031.9,,1,,1.82,,,,1,0,Ci,,2000,,,2.5,,-.6,-1,-.4,.8
108,서울,2021-01-05 13:00,-4.1,,,9,4.8,,290,,34,,1.5,-17.6,1019.7,,1030.8,,1,,1.98,,,,1,0,Ci,,2000,,,3.3,,-.5,-1,-.4,.7
108,서울,2021-01-05 14:00,-4.2,,,9,4.3,,290,,33,,1.5,-18.1,1018.8,,1029.9,,.9,,1.69,,,,2,0,Ci,,2000,,,2.7,,-.4,-.9,-.4,.7
108,서울,2021-01-05 15:00,-3.8,,,9,4.2,,250,,35,,1.6,-17,1018.7,,1029.8,,.7,,.74,,,,3,0,Ci,,2000,,,.7,,-.3,-.8,-.4,.7
108,서울,2021-01-05 16:00,-3.6,,,9,3.3,,290,,33,,1.6,-17.5,1018.4,,1029.5,,1,,1.15,,,,0,0,,,2000,,,-.7,,-.3,-.8,-.4,.7
108,서울,2021-01-05 17:00,-4.5,,,9,3.6,,270,,31,,1.4,-19.1,1018.1,,1029.2,,1,,.48,,,,0,0,,,2000,,,-2.4,,-.3,-.8,-.4,.7
108,서울,2021-01-05 18:00,-5.7,,,9,2.8,,320,,34,,1.4,-19,1018.4,,1029.6,,.2,,.04,,,,0,0,,,2000,,,-4.1,,-.5,-.9,-.4,.7
108,서울,2021-01-05 19:00,-6.5,,,9,1.9,,290,,39,,1.5,-18.2,1019.3,,1030.5,,,9,,9,,,0,0,,,2000,,,-5.1,,-.7,-1,-.4,.7
108,서울,2021-01-05 20:00,-7.1,,,9,3.6,,340,,41,,1.5,-18.1,1019.3,,1030.5,,,9,,9,,,0,0,,,2000,,,-6,,-.9,-1.1,-.4,.7
108,서울,2021-01-05 21:00,-7.6,,,9,4.9,,320,,43,,1.5,-18,1019.2,,1030.5,,,9,,9,,,0,0,,,2000,,,-6.7,,-1.1,-1.3,-.4,.7
108,서울,2021-01-05 22:00,-8.5,,,9,2.5,,290,,51,,1.6,-16.8,1018.9,,1030.2,,,9,,9,,,0,0,,,2000,,,-6.8,,-1.3,-1.4,-.4,.7
108,서울,2021-01-05 23:00,-9.5,,,9,.9,,230,,53,,1.6,-17.3,1018.7,,1030,,,9,,9,,,0,0,,,2000,,,-7.3,,-1.5,-1.5,-.4,.7
108,서울,2021-01-06 00:00,-9.9,,,9,1.8,,270,,54,,1.6,-17.4,1018.8,,1030.2,,,9,,9,,,0,0,,,2000,,,-7.7,,-1.7,-1.7,-.5,.7
108,서울,2021-01-06 01:00,-10.3,,,,1.8,,270,,57,,1.6,-17.2,1018.5,,1029.9,,,9,,9,,,0,0,,,2000,,,-8.2,,-1.9,-1.8,-.5,.7
108,서울,2021-01-06 02:00,-10.6,,,,1.9,,270,,57,,1.6,-17.4,1018.4,,1029.8,,,9,,9,,,0,0,,,2000,,,-8.4,,-2.1,-2,-.5,.7
108,서울,2021-01-06 03:00,-11.1,,,,1.7,,290,,61,,1.6,-17.1,1018.5,,1029.9,,,9,,9,,,0,0,,,2000,,,-8.8,,-2.3,-2.1,-.6,.7
108,서울,2021-01-06 04:00,-11.2,,,,1.3,,290,,64,,1.7,-16.6,1017.8,,1029.2,,,9,,9,,,0,0,,,2000,,,-9.1,,-2.4,-2.2,-.6,.7
108,서울,2021-01-06 05:00,-11.6,,,,1.3,,340,,64,,1.6,-17,1017,,1028.4,,,9,,9,,,0,0,,,2000,,,-9.4,,-2.6,-2.3,-.7,.7
108,서울,2021-01-06 06:00,-11.7,,,,.8,,290,,62,,1.6,-17.5,1017,,1028.4,,,9,,9,,,0,0,,,2000,,,-9.5,,-2.7,-2.5,-.7,.7
108,서울,2021-01-06 07:00,-11.9,,,,2.2,,20,,61,,1.5,-17.9,1016.7,,1028.1,,,9,,9,,,0,0,,,2000,,,-9.6,,-2.9,-2.6,-.8,.7
108,서울,2021-01-06 08:00,-11.7,,,,2.4,,20,,64,,1.6,-17.1,1016.6,,1028,,0,,0,,,,0,0,,,2000,,,-9.4,,-2.9,-2.7,-.8,.6
108,서울,2021-01-06 09:00,-10.7,,,,1.4,,50,,62,,1.7,-16.5,1017,,1028.4,,1,,.32,,,,0,0,,,2000,,,-8.6,,-3,-2.7,-.9,.6
108,서울,2021-01-06 10:00,-8.2,,,,1.6,,200,,53,,1.7,-16.1,1017.2,,1028.5,,1,,.84,,,,0,0,,,2000,,,-5.3,,-2.7,-2.7,-1,.6
108,서울,2021-01-06 11:00,-7,,,,2.4,,270,,46,,1.7,-16.6,1016.3,,1027.5,,1,,1.5,,,,0,0,,,2000,,,-.4,,-2.2,-2.5,-1,.6
108,서울,2021-01-06 12:00,-6,,,,2.3,,360,,37,,1.5,-18.3,1014.9,,1026,,1,,1.89,,,,0,0,,,2000,,,3,,-1.8,-2.2,-1,.6
108,서울,2021-01-06 13:00,-4.6,,,,3,,270,,30,,1.3,-19.5,1013.5,,1024.6,,1,,2.04,,,,0,0,,,2000,,,5.1,,-1.5,-1.9,-1,.5
108,서울,2021-01-06 14:00,-3.6,,,,3.1,,270,,26,,1.2,-20.3,1011.6,,1022.6,,1,,1.95,,,,0,0,,,2000,,,4.6,,-1.1,-1.7,-.9,.5
108,서울,2021-01-06 15:00,-2.3,,,,1.9,,230,,26,,1.3,-19.2,1011,,1021.9,,1,,1.64,,,,0,0,,,2000,,,3.1,,-.9,-1.5,-.9,.5
108,서울,2021-01-06 16:00,-2.2,,,,2.9,,200,,25,,1.3,-19.6,1010.5,,1021.4,,1,,1.13,,,,0,0,,,2000,,,-.6,,-.7,-1.4,-.8,.5
108,서울,2021-01-06 17:00,-3.2,,,,2.6,,180,,27,,1.3,-19.5,1009.7,,1020.7,,1,,.44,,,,0,0,,,2000,,,-2.2,,-.7,-1.3,-.8,.5
